Date,Channel,Campaign Name,Campaign Type,Region,Device,Impressions,Clicks,Conversions,Cost,Revenue
2025-04-17,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Desktop,1281,45,0,69.1,0.0
2025-05-15,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Desktop,1752,23,0,27.93,0.0
2025-01-26,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Desktop,1680,24,0,26.78,0.0
2025-05-15,YouTube,YouTube - Conversion - No,Conversion,North America,Mobile,989,2,0,1.78,0.0
2025-09-25,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Mobile,1240,22,0,46.13,0.0
2025-11-04,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1264,15,0,21.46,0.0
2025-07-11,LinkedIn,LinkedIn - Brand Awareness - No,Brand Awareness,North America,Desktop,796,7,0,34.76,0.0
2025-05-19,YouTube,YouTube - Retargeting - Eu,Retargeting,Europe,Mobile,907,5,0,4.88,0.0
2025-08-06,YouTube,YouTube - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1291,7,0,4.68,0.0
2025-01-19,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,1447,21,1,50.34,167.42
2025-08-23,Instagram,Instagram - Conversion - No,Conversion,North America,Mobile,936,10,0,17.79,0.0
2025-02-17,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1094,12,0,12.85,0.0
2025-10-14,Instagram,Instagram - Retargeting - No,Retargeting,North America,Desktop,1001,11,0,10.89,0.0
2025-11-15,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Desktop,759,9,0,2.17,0.0
2025-04-27,Email,Email - Conversion - No,Conversion,North America,Tablet,867,25,0,-15.33,0.0
2025-08-10,Email,Email - Retargeting - As,Retargeting,Asia Pacific,Desktop,1592,40,2,-12.04,383.04
2025-04-12,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Mobile,1703,50,1,121.84,150.27
2025-05-31,Instagram,Instagram - Conversion - LA,Conversion,LATAM,Tablet,890,11,0,15.85,0.0
2025-06-04,LinkedIn,LinkedIn - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,486,3,0,13.73,0.0
2025-05-31,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Desktop,1492,41,1,86.64,175.42
2025-08-19,Instagram,Instagram - Brand Awareness - As,Brand Awareness,Asia Pacific,Tablet,704,6,0,4.79,0.0
2025-11-04,Google Ads,Google Ads - Retargeting - LA,Retargeting,LATAM,Desktop,1770,51,3,95.74,382.16
2025-01-26,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,2166,37,0,82.39,0.0
2025-11-17,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Desktop,1816,9,0,41.97,0.0
2025-02-10,YouTube,YouTube - Brand Awareness - Eu,Brand Awareness,Europe,Tablet,745,2,0,1.86,0.0
2025-08-15,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Mobile,1252,35,0,47.15,0.0
2025-10-04,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,918,25,0,43.62,0.0
2025-11-13,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Mobile,2117,47,2,57.33,420.02
2025-12-12,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Tablet,1044,12,0,3.12,0.0
2025-03-05,Facebook,Facebook - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1693,25,0,64.3,0.0
2025-11-08,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Desktop,1935,26,0,33.36,0.0
2025-11-18,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,1653,38,0,82.04,0.0
2025-02-21,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Desktop,3280,51,1,64.7,152.6
2025-03-31,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Mobile,1644,23,0,34.28,0.0
2025-02-12,Instagram,Instagram - Lead Generation - Eu,Lead Generation,Europe,Desktop,902,11,0,13.66,0.0
2025-12-06,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2926,74,1,206.68,112.87
2025-07-02,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Desktop,1313,36,1,59.41,137.44
2025-09-03,Google Ads,Google Ads - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,1933,42,0,91.5,0.0
2025-03-20,YouTube,YouTube - Retargeting - No,Retargeting,North America,Desktop,751,3,0,2.42,0.0
2025-04-10,Instagram,Instagram - Lead Generation - LA,Lead Generation,LATAM,Desktop,1035,16,0,15.94,0.0
2025-10-04,LinkedIn,LinkedIn - Retargeting - LA,Retargeting,LATAM,Mobile,823,6,0,29.95,0.0
2025-02-25,LinkedIn,LinkedIn - Conversion - LA,Conversion,LATAM,Mobile,1080,6,0,30.47,0.0
2025-06-04,Google Ads,Google Ads - Conversion - No,Conversion,North America,Tablet,3088,83,1,169.43,142.25
2025-06-21,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,2710,50,0,58.39,0.0
2025-10-06,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1818,45,0,88.92,0.0
2025-12-18,Email,Email - Conversion - LA,Conversion,LATAM,Mobile,1231,34,0,4.58,0.0
2025-07-26,YouTube,YouTube - Retargeting - As,Retargeting,Asia Pacific,Desktop,789,3,0,0.45,0.0
2025-06-09,Instagram,Instagram - Lead Generation - LA,Lead Generation,LATAM,Desktop,819,7,0,5.61,0.0
2025-08-20,Email,Email - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1285,34,0,11.76,0.0
2025-11-12,YouTube,YouTube - Conversion - No,Conversion,North America,Mobile,1549,9,0,6.03,0.0
2025-09-28,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Tablet,1082,9,0,36.44,0.0
2025-01-10,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,1966,50,1,123.1,174.39
2025-03-28,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Mobile,2072,34,0,31.88,0.0
2025-03-17,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,2766,37,0,45.08,0.0
2025-07-30,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Desktop,2140,62,1,131.45,174.7
2025-11-08,LinkedIn,LinkedIn - Brand Awareness - LA,Brand Awareness,LATAM,Tablet,1615,13,0,64.8,0.0
2025-05-22,YouTube,YouTube - Lead Generation - No,Lead Generation,North America,Mobile,1115,5,0,2.28,0.0
2025-04-25,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,2401,38,0,47.24,0.0
2025-07-18,YouTube,YouTube - Conversion - No,Conversion,North America,Tablet,590,3,0,3.07,0.0
2025-11-26,Facebook,Facebook - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,1953,29,0,42.02,0.0
2025-09-10,LinkedIn,LinkedIn - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,886,5,0,20.56,0.0
2025-03-01,LinkedIn,LinkedIn - Lead Generation - LA,Lead Generation,LATAM,Mobile,1094,11,0,52.67,0.0
2025-08-30,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Desktop,1298,21,1,36.87,157.8
2025-10-04,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,1225,19,0,38.53,0.0
2025-04-23,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Desktop,1625,16,0,80.54,0.0
2025-11-20,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Tablet,913,5,0,20.87,0.0
2025-12-01,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,2478,38,1,55.58,166.99
2025-07-26,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Desktop,1249,8,0,37.12,0.0
2025-04-27,LinkedIn,LinkedIn - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,1003,6,0,28.43,0.0
2025-01-14,LinkedIn,LinkedIn - Lead Generation - LA,Lead Generation,LATAM,Mobile,1372,9,0,40.18,0.0
2025-02-11,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Tablet,1111,11,0,12.34,0.0
2025-11-28,Google Ads,Google Ads - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,2152,49,1,114.01,111.27
2025-03-07,Instagram,Instagram - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,924,13,0,1.1,0.0
2025-05-27,LinkedIn,LinkedIn - Brand Awareness - No,Brand Awareness,North America,Mobile,746,5,0,23.11,0.0
2025-07-21,YouTube,YouTube - Conversion - As,Conversion,Asia Pacific,Mobile,1101,5,0,8.18,0.0
2025-02-11,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,2148,49,0,96.73,0.0
2025-11-30,Instagram,Instagram - Lead Generation - No,Lead Generation,North America,Mobile,1386,15,0,13.86,0.0
2025-04-09,LinkedIn,LinkedIn - Retargeting - LA,Retargeting,LATAM,Desktop,1292,12,0,53.33,0.0
2025-05-18,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Tablet,1083,10,0,12.65,0.0
2025-11-24,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2435,53,1,89.37,135.14
2025-07-05,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,2322,42,1,69.5,168.49
2025-06-07,Instagram,Instagram - Conversion - LA,Conversion,LATAM,Desktop,810,9,0,16.52,0.0
2025-01-21,LinkedIn,LinkedIn - Conversion - LA,Conversion,LATAM,Tablet,1141,6,0,24.91,0.0
2025-02-22,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,1567,19,0,28.51,0.0
2025-09-18,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,829,12,0,10.96,0.0
2025-01-23,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1763,12,0,25.48,0.0
2025-11-19,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,1502,26,1,51.37,186.67
2025-11-23,Facebook,Facebook - Conversion - As,Conversion,Asia Pacific,Mobile,695,10,0,17.5,0.0
2025-09-25,Facebook,Facebook - Retargeting - LA,Retargeting,LATAM,Desktop,2140,33,2,32.88,260.57
2025-01-11,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,1437,45,1,95.11,172.44
2025-01-15,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1226,10,0,1.15,0.0
2025-12-12,Google Ads,Google Ads - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,1673,41,0,80.68,0.0
2025-08-01,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Desktop,813,8,0,10.0,0.0
2025-01-21,Instagram,Instagram - Lead Generation - Eu,Lead Generation,Europe,Desktop,1165,11,0,8.21,0.0
2025-08-29,Google Ads,Google Ads - Conversion - Eu,Conversion,Europe,Tablet,895,16,0,32.21,0.0
2025-11-07,Facebook,Facebook - Conversion - Eu,Conversion,Europe,Mobile,1564,22,0,35.54,0.0
2025-08-24,LinkedIn,LinkedIn - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1028,8,0,29.92,0.0
2026-01-04,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,1604,17,0,39.57,0.0
2025-04-18,Instagram,Instagram - Conversion - As,Conversion,Asia Pacific,Desktop,1189,17,0,7.05,0.0
2025-11-05,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Mobile,1851,28,0,47.32,0.0
2025-06-02,Google Ads,Google Ads - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,2812,84,1,151.94,153.1
2025-10-13,LinkedIn,LinkedIn - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,839,5,0,22.4,0.0
2025-04-17,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,1374,25,0,39.19,0.0
2025-12-19,Google Ads,Google Ads - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,842,25,0,36.32,0.0
2025-02-07,Facebook,Facebook - Conversion - No,Conversion,North America,Desktop,1689,32,0,42.19,0.0
2025-12-29,LinkedIn,LinkedIn - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,1436,7,0,33.09,0.0
2025-10-24,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Tablet,839,9,0,16.57,0.0
2025-11-19,YouTube,YouTube - Conversion - Eu,Conversion,Europe,Desktop,752,4,0,-1.14,0.0
2025-08-18,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Tablet,1140,15,0,22.29,0.0
2025-09-02,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,2281,28,0,34.27,0.0
2025-05-04,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,1920,58,0,95.23,0.0
2025-08-18,YouTube,YouTube - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,990,4,0,-1.5,0.0
2025-11-28,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Desktop,2544,64,4,154.26,732.45
2025-10-20,YouTube,YouTube - Conversion - LA,Conversion,LATAM,Desktop,1039,6,0,6.2,0.0
2025-07-14,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Desktop,1975,54,2,125.25,394.04
2025-01-16,Facebook,Facebook - Retargeting - No,Retargeting,North America,Desktop,2205,33,1,61.93,109.49
2025-12-14,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Mobile,1972,46,2,117.47,333.43
2025-10-09,YouTube,YouTube - Retargeting - LA,Retargeting,LATAM,Mobile,788,4,0,2.27,0.0
2025-07-16,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Desktop,3212,41,1,89.85,184.1
2025-03-03,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,1725,26,0,31.95,0.0
2025-10-19,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Desktop,1866,21,0,38.15,0.0
2025-09-18,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1498,19,0,27.57,0.0
2025-07-31,LinkedIn,LinkedIn - Retargeting - Eu,Retargeting,Europe,Mobile,1487,5,0,21.86,0.0
2025-12-10,Instagram,Instagram - Lead Generation - LA,Lead Generation,LATAM,Mobile,1450,17,0,27.55,0.0
2025-03-09,LinkedIn,LinkedIn - Retargeting - No,Retargeting,North America,Mobile,864,3,0,14.64,0.0
2025-04-16,YouTube,YouTube - Conversion - Eu,Conversion,Europe,Desktop,1127,5,0,-1.18,0.0
2025-06-14,LinkedIn,LinkedIn - Retargeting - Eu,Retargeting,Europe,Mobile,737,5,0,22.28,0.0
2025-07-17,Email,Email - Lead Generation - Eu,Lead Generation,Europe,Desktop,780,25,0,23.77,0.0
2025-08-15,LinkedIn,LinkedIn - Lead Generation - LA,Lead Generation,LATAM,Desktop,1268,11,0,46.56,0.0
2025-01-07,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Mobile,2118,35,2,47.28,429.82
2025-09-04,Facebook,Facebook - Conversion - Eu,Conversion,Europe,Mobile,2313,30,0,77.13,0.0
2025-06-03,Instagram,Instagram - Retargeting - No,Retargeting,North America,Mobile,1130,13,0,12.92,0.0
2025-07-30,Instagram,Instagram - Retargeting - No,Retargeting,North America,Desktop,1279,18,0,13.49,0.0
2025-05-01,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Desktop,1600,21,1,11.79,103.54
2025-01-22,Google Ads,Google Ads - Conversion - No,Conversion,North America,Mobile,2296,60,1,99.85,149.23
2025-11-18,Facebook,Facebook - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,2703,55,1,89.88,128.59
2025-12-15,Email,Email - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,1332,34,0,-1.23,0.0
2025-12-20,Facebook,Facebook - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2152,23,0,15.68,0.0
2025-07-27,LinkedIn,LinkedIn - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,1309,10,0,44.02,0.0
2025-10-24,YouTube,YouTube - Brand Awareness - No,Brand Awareness,North America,Mobile,988,5,0,2.7,0.0
2025-07-29,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Mobile,1073,29,0,62.25,0.0
2025-05-10,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Mobile,1027,13,0,22.58,0.0
2025-03-31,Instagram,Instagram - Brand Awareness - As,Brand Awareness,Asia Pacific,Tablet,969,11,0,10.36,0.0
2025-11-28,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Desktop,2304,67,4,100.83,547.2
2025-07-15,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Mobile,2192,35,0,60.44,0.0
2025-05-16,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Desktop,2578,60,1,115.5,153.77
